,Trial0,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0
3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0
4,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0
5,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0
6,4.0,4.0,3.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0
7,5.0,4.0,4.0,6.0,4.0,4.0,5.0,4.0,5.0,4.0,6.0,4.0,5.0,4.0,5.0,5.0
8,5.0,5.0,4.0,6.0,4.0,5.0,6.0,5.0,6.0,5.0,6.0,4.0,6.0,5.0,5.0,5.0
9,6.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0
10,7.0,6.0,5.0,7.0,5.0,6.0,7.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0
11,7.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,7.0
12,7.0,6.0,7.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,7.0,7.0
13,8.0,7.0,7.0,9.0,6.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,7.0
14,8.0,7.0,8.0,9.0,6.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,8.0
15,8.0,8.0,8.0,10.0,7.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,8.0
16,9.0,9.0,9.0,10.0,8.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,9.0
