,Trial0,Trial1,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15,Trial16,Trial17,Trial18,Trial19,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0
3,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0
4,1.0,0.75,0.5,0.75,1.0,1.0,1.0,0.75,0.5,1.0,1.0,0.75,0.75,1.0,0.75,1.0,1.0,0.5,1.0,0.75
5,1.0,0.6,0.6,0.6,0.8,1.0,1.0,0.8,0.6,1.0,1.0,0.8,0.8,1.0,0.8,0.8,1.0,0.6,1.0,0.8
6,1.0,0.6666666666666666,0.5,0.6666666666666666,0.8333333333333334,1.0,1.0,0.8333333333333334,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8333333333333334,0.8333333333333334,1.0,0.6666666666666666,0.8333333333333334,0.8333333333333334
7,1.0,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.8571428571428571,1.0,0.8571428571428571,0.5714285714285714,1.0,1.0,0.7142857142857143,0.7142857142857143,1.0,0.7142857142857143,0.7142857142857143,1.0,0.7142857142857143,0.8571428571428571,0.8571428571428571
8,0.875,0.75,0.625,0.625,0.75,0.875,0.875,0.875,0.625,1.0,1.0,0.75,0.625,0.875,0.75,0.75,0.875,0.625,0.75,0.875
9,0.8888888888888888,0.7777777777777778,0.6666666666666666,0.5555555555555556,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.8888888888888888,1.0,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.6666666666666666,0.7777777777777778,0.8888888888888888
10,0.9,0.8,0.6,0.6,0.8,0.9,0.9,0.9,0.7,0.9,1.0,0.7,0.6,0.8,0.7,0.7,0.9,0.7,0.8,0.9
11,0.9090909090909091,0.8181818181818182,0.6363636363636364,0.6363636363636364,0.8181818181818182,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.7272727272727273,0.8181818181818182,0.9090909090909091,0.6363636363636364,0.6363636363636364,0.8181818181818182,0.6363636363636364,0.7272727272727273,0.9090909090909091,0.6363636363636364,0.7272727272727273,0.9090909090909091
12,0.9166666666666666,0.8333333333333334,0.6666666666666666,0.5833333333333334,0.75,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.8333333333333334,0.9166666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.75,0.9166666666666666,0.6666666666666666,0.75,0.9166666666666666
13,0.9230769230769231,0.7692307692307693,0.6153846153846154,0.6153846153846154,0.7692307692307693,0.9230769230769231,0.8461538461538461,0.9230769230769231,0.6923076923076923,0.8461538461538461,0.9230769230769231,0.6923076923076923,0.6923076923076923,0.8461538461538461,0.6923076923076923,0.7692307692307693,0.9230769230769231,0.6923076923076923,0.6923076923076923,0.9230769230769231
