,Trial0,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15,Trial16,Trial17,Trial18,Trial19,Trial20,Trial21,Trial22,Trial23,Trial24
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0
3,1.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0
4,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0
5,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0
6,3.0,3.0,2.0,3.0,3.0,5.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0
7,3.0,4.0,2.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0
8,4.0,5.0,3.0,4.0,4.0,6.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0
9,4.0,5.0,4.0,4.0,4.0,6.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0
10,4.0,5.0,4.0,4.0,5.0,7.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,6.0,5.0,3.0,4.0,3.0,4.0,5.0,6.0,5.0
11,4.0,6.0,5.0,4.0,5.0,8.0,5.0,5.0,4.0,4.0,5.0,4.0,6.0,5.0,5.0,4.0,6.0,6.0,3.0,5.0,3.0,4.0,5.0,6.0,5.0
12,5.0,6.0,6.0,5.0,5.0,9.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,7.0,6.0,4.0,6.0,4.0,5.0,5.0,6.0,6.0
13,5.0,7.0,6.0,6.0,5.0,9.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,8.0,7.0,5.0,7.0,4.0,6.0,6.0,6.0,6.0
14,6.0,8.0,6.0,6.0,6.0,9.0,6.0,5.0,5.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,9.0,7.0,6.0,7.0,5.0,6.0,6.0,7.0,6.0
15,6.0,8.0,7.0,7.0,7.0,10.0,7.0,5.0,5.0,6.0,6.0,7.0,8.0,7.0,7.0,6.0,9.0,8.0,7.0,8.0,6.0,7.0,6.0,7.0,7.0
16,6.0,9.0,8.0,7.0,8.0,10.0,7.0,6.0,6.0,6.0,7.0,7.0,8.0,7.0,7.0,6.0,10.0,8.0,8.0,9.0,7.0,7.0,6.0,8.0,7.0
17,6.0,9.0,8.0,7.0,8.0,10.0,7.0,6.0,6.0,6.0,7.0,8.0,8.0,8.0,7.0,7.0,10.0,8.0,8.0,9.0,7.0,8.0,7.0,8.0,7.0
18,7.0,9.0,8.0,7.0,8.0,11.0,7.0,7.0,6.0,6.0,8.0,8.0,9.0,8.0,7.0,7.0,10.0,8.0,9.0,9.0,7.0,8.0,8.0,9.0,8.0
19,7.0,9.0,8.0,8.0,8.0,11.0,8.0,7.0,7.0,6.0,8.0,9.0,9.0,8.0,8.0,7.0,11.0,8.0,10.0,9.0,7.0,9.0,8.0,9.0,8.0
20,8.0,9.0,8.0,8.0,9.0,11.0,8.0,7.0,7.0,7.0,8.0,9.0,10.0,8.0,8.0,7.0,12.0,8.0,10.0,10.0,8.0,9.0,9.0,9.0,9.0
21,8.0,10.0,9.0,8.0,9.0,11.0,8.0,8.0,7.0,7.0,8.0,9.0,10.0,8.0,8.0,8.0,12.0,8.0,11.0,10.0,9.0,10.0,9.0,10.0,9.0
22,9.0,10.0,9.0,9.0,9.0,12.0,9.0,8.0,8.0,8.0,9.0,10.0,11.0,9.0,9.0,9.0,13.0,9.0,11.0,10.0,9.0,11.0,10.0,10.0,10.0
23,9.0,11.0,10.0,10.0,10.0,12.0,10.0,9.0,9.0,8.0,9.0,11.0,11.0,9.0,9.0,9.0,13.0,9.0,12.0,10.0,10.0,11.0,11.0,10.0,10.0
24,10.0,11.0,10.0,10.0,11.0,13.0,10.0,9.0,9.0,9.0,9.0,12.0,11.0,9.0,9.0,9.0,14.0,10.0,12.0,11.0,10.0,11.0,11.0,10.0,10.0
25,10.0,11.0,10.0,10.0,11.0,13.0,11.0,9.0,9.0,9.0,9.0,12.0,12.0,9.0,10.0,10.0,14.0,10.0,13.0,12.0,10.0,11.0,12.0,11.0,10.0
26,11.0,11.0,11.0,11.0,11.0,13.0,11.0,10.0,9.0,10.0,9.0,12.0,12.0,10.0,10.0,10.0,14.0,10.0,13.0,13.0,10.0,11.0,12.0,12.0,11.0
27,11.0,12.0,11.0,11.0,11.0,13.0,12.0,10.0,9.0,10.0,10.0,13.0,12.0,10.0,10.0,11.0,15.0,11.0,14.0,13.0,11.0,12.0,12.0,13.0,11.0
28,11.0,12.0,12.0,11.0,11.0,14.0,12.0,10.0,10.0,11.0,10.0,13.0,13.0,11.0,10.0,11.0,15.0,11.0,14.0,13.0,11.0,12.0,12.0,13.0,11.0
29,12.0,13.0,12.0,11.0,12.0,15.0,12.0,11.0,10.0,11.0,10.0,13.0,13.0,11.0,10.0,12.0,15.0,12.0,14.0,13.0,11.0,12.0,13.0,14.0,11.0
30,12.0,13.0,12.0,12.0,13.0,15.0,12.0,11.0,10.0,11.0,11.0,14.0,13.0,12.0,11.0,12.0,16.0,13.0,14.0,14.0,12.0,13.0,13.0,14.0,12.0
31,13.0,14.0,12.0,13.0,14.0,15.0,13.0,12.0,10.0,11.0,11.0,14.0,13.0,13.0,12.0,12.0,16.0,13.0,15.0,14.0,13.0,13.0,14.0,15.0,12.0
32,14.0,14.0,13.0,13.0,14.0,16.0,13.0,12.0,11.0,12.0,11.0,14.0,13.0,13.0,12.0,13.0,17.0,13.0,15.0,14.0,13.0,13.0,14.0,15.0,13.0
33,14.0,14.0,13.0,13.0,14.0,16.0,13.0,12.0,11.0,12.0,12.0,15.0,14.0,13.0,13.0,13.0,18.0,14.0,15.0,15.0,14.0,14.0,14.0,15.0,13.0
34,14.0,15.0,13.0,13.0,14.0,16.0,14.0,13.0,12.0,13.0,12.0,15.0,14.0,14.0,13.0,13.0,18.0,14.0,16.0,15.0,14.0,14.0,15.0,15.0,13.0
35,15.0,15.0,13.0,13.0,15.0,16.0,14.0,13.0,12.0,13.0,12.0,15.0,14.0,14.0,13.0,14.0,19.0,15.0,16.0,15.0,15.0,14.0,15.0,16.0,14.0
36,15.0,15.0,13.0,14.0,15.0,17.0,14.0,14.0,13.0,14.0,13.0,15.0,15.0,14.0,14.0,14.0,19.0,16.0,17.0,16.0,16.0,15.0,15.0,16.0,15.0
37,15.0,15.0,14.0,14.0,15.0,17.0,15.0,14.0,13.0,14.0,13.0,16.0,16.0,15.0,14.0,14.0,19.0,16.0,18.0,17.0,16.0,15.0,15.0,16.0,15.0
38,16.0,16.0,14.0,15.0,15.0,17.0,15.0,14.0,14.0,14.0,14.0,16.0,16.0,15.0,15.0,15.0,20.0,16.0,18.0,17.0,17.0,16.0,15.0,17.0,15.0
39,17.0,16.0,15.0,15.0,16.0,17.0,15.0,14.0,15.0,14.0,14.0,16.0,16.0,16.0,15.0,16.0,20.0,16.0,19.0,18.0,17.0,17.0,16.0,17.0,15.0
40,17.0,16.0,15.0,15.0,16.0,17.0,16.0,15.0,15.0,14.0,14.0,17.0,17.0,16.0,15.0,16.0,21.0,16.0,19.0,19.0,17.0,17.0,17.0,17.0,15.0
41,18.0,16.0,15.0,16.0,17.0,18.0,17.0,15.0,15.0,15.0,15.0,17.0,17.0,17.0,15.0,16.0,21.0,17.0,19.0,20.0,17.0,17.0,17.0,18.0,15.0
42,18.0,16.0,16.0,16.0,17.0,19.0,17.0,16.0,15.0,15.0,15.0,18.0,18.0,17.0,16.0,17.0,21.0,18.0,20.0,20.0,18.0,18.0,17.0,18.0,15.0
43,18.0,17.0,16.0,16.0,17.0,19.0,17.0,16.0,16.0,16.0,15.0,18.0,18.0,17.0,17.0,17.0,21.0,18.0,21.0,20.0,18.0,18.0,18.0,18.0,16.0
44,19.0,18.0,17.0,17.0,17.0,19.0,17.0,16.0,16.0,17.0,15.0,18.0,18.0,18.0,18.0,17.0,21.0,18.0,21.0,20.0,18.0,19.0,18.0,19.0,16.0
45,19.0,18.0,17.0,17.0,17.0,20.0,18.0,17.0,16.0,17.0,15.0,18.0,19.0,18.0,18.0,17.0,21.0,19.0,21.0,21.0,19.0,19.0,18.0,19.0,17.0
46,19.0,18.0,18.0,18.0,18.0,20.0,18.0,17.0,17.0,17.0,15.0,19.0,19.0,19.0,19.0,18.0,21.0,19.0,21.0,21.0,19.0,20.0,18.0,20.0,18.0
47,19.0,18.0,19.0,18.0,19.0,20.0,18.0,17.0,17.0,17.0,16.0,20.0,19.0,19.0,19.0,18.0,22.0,20.0,21.0,21.0,20.0,20.0,18.0,20.0,18.0
48,19.0,19.0,19.0,19.0,19.0,21.0,19.0,17.0,18.0,17.0,16.0,20.0,19.0,19.0,20.0,19.0,22.0,20.0,22.0,22.0,21.0,20.0,19.0,21.0,19.0
49,20.0,19.0,20.0,19.0,19.0,21.0,19.0,18.0,18.0,18.0,16.0,21.0,19.0,20.0,20.0,19.0,23.0,21.0,22.0,22.0,21.0,20.0,20.0,21.0,20.0
50,20.0,19.0,21.0,20.0,20.0,21.0,20.0,18.0,18.0,18.0,16.0,21.0,20.0,20.0,21.0,19.0,23.0,22.0,22.0,23.0,22.0,21.0,21.0,22.0,20.0
51,21.0,20.0,21.0,20.0,20.0,22.0,21.0,19.0,19.0,19.0,17.0,22.0,21.0,20.0,22.0,19.0,24.0,22.0,23.0,23.0,23.0,21.0,21.0,22.0,21.0
52,21.0,20.0,21.0,20.0,21.0,22.0,21.0,19.0,20.0,20.0,17.0,22.0,21.0,20.0,22.0,19.0,25.0,22.0,23.0,23.0,23.0,21.0,22.0,22.0,21.0
53,22.0,20.0,22.0,20.0,21.0,22.0,21.0,20.0,20.0,20.0,17.0,22.0,22.0,21.0,22.0,20.0,25.0,22.0,23.0,24.0,24.0,21.0,22.0,23.0,22.0
54,23.0,21.0,23.0,21.0,21.0,23.0,21.0,21.0,20.0,20.0,18.0,23.0,22.0,21.0,22.0,21.0,25.0,23.0,24.0,24.0,24.0,21.0,23.0,23.0,22.0
55,23.0,21.0,23.0,21.0,21.0,23.0,22.0,21.0,20.0,20.0,18.0,23.0,22.0,21.0,22.0,21.0,25.0,23.0,24.0,25.0,25.0,22.0,23.0,23.0,22.0
56,23.0,22.0,23.0,21.0,22.0,24.0,23.0,21.0,21.0,21.0,18.0,24.0,23.0,21.0,22.0,21.0,26.0,23.0,24.0,25.0,25.0,22.0,23.0,24.0,22.0
57,23.0,22.0,24.0,22.0,23.0,24.0,23.0,22.0,21.0,21.0,19.0,24.0,24.0,22.0,22.0,22.0,26.0,24.0,25.0,25.0,25.0,23.0,24.0,25.0,23.0
58,23.0,22.0,25.0,22.0,23.0,25.0,23.0,23.0,21.0,22.0,19.0,25.0,24.0,22.0,23.0,23.0,27.0,24.0,25.0,26.0,26.0,23.0,24.0,25.0,23.0
59,24.0,23.0,25.0,22.0,24.0,25.0,23.0,23.0,21.0,22.0,20.0,25.0,24.0,22.0,23.0,23.0,28.0,24.0,26.0,26.0,27.0,23.0,25.0,25.0,24.0
60,24.0,23.0,26.0,22.0,24.0,26.0,23.0,23.0,22.0,23.0,20.0,25.0,25.0,23.0,24.0,24.0,28.0,25.0,26.0,27.0,27.0,24.0,25.0,26.0,24.0
61,24.0,23.0,26.0,23.0,25.0,27.0,24.0,24.0,22.0,23.0,20.0,25.0,25.0,23.0,24.0,24.0,28.0,25.0,27.0,28.0,27.0,24.0,26.0,26.0,24.0
