,Trial0,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15,Trial16,Trial17,Trial18,Trial19,Trial20,Trial21,Trial22,Trial23,Trial24
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
3,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0
4,3.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0
5,3.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0
6,4.0,6.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,6.0,4.0,5.0
7,5.0,7.0,4.0,6.0,4.0,4.0,5.0,5.0,5.0,6.0,4.0,4.0,5.0,6.0,5.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0,6.0
8,6.0,7.0,4.0,7.0,4.0,5.0,6.0,5.0,5.0,6.0,4.0,5.0,5.0,6.0,6.0,7.0,5.0,6.0,6.0,5.0,5.0,6.0,7.0,6.0,7.0
9,6.0,8.0,5.0,8.0,5.0,6.0,6.0,6.0,6.0,7.0,4.0,5.0,6.0,7.0,6.0,7.0,5.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,8.0
10,7.0,9.0,6.0,9.0,6.0,6.0,6.0,7.0,6.0,8.0,5.0,6.0,7.0,8.0,7.0,8.0,6.0,7.0,7.0,6.0,7.0,7.0,8.0,7.0,8.0
11,7.0,10.0,6.0,10.0,7.0,7.0,7.0,7.0,7.0,8.0,5.0,6.0,7.0,8.0,8.0,9.0,7.0,8.0,7.0,7.0,7.0,8.0,8.0,7.0,9.0
12,8.0,11.0,7.0,11.0,7.0,7.0,7.0,8.0,7.0,9.0,6.0,7.0,8.0,9.0,8.0,10.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,10.0
13,8.0,12.0,8.0,12.0,8.0,8.0,8.0,9.0,8.0,9.0,7.0,8.0,8.0,10.0,9.0,11.0,8.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,11.0
14,9.0,12.0,8.0,12.0,9.0,8.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,11.0,9.0,11.0,9.0,10.0,9.0,8.0,10.0,10.0,11.0,10.0,11.0
15,10.0,13.0,9.0,13.0,9.0,9.0,10.0,11.0,10.0,11.0,9.0,9.0,9.0,12.0,10.0,12.0,10.0,11.0,10.0,9.0,11.0,11.0,11.0,11.0,12.0
16,10.0,13.0,10.0,13.0,10.0,9.0,10.0,12.0,10.0,11.0,10.0,10.0,10.0,13.0,11.0,13.0,10.0,12.0,10.0,10.0,11.0,11.0,12.0,11.0,12.0
17,11.0,14.0,11.0,14.0,11.0,10.0,10.0,12.0,11.0,11.0,10.0,10.0,11.0,13.0,12.0,14.0,11.0,13.0,11.0,10.0,11.0,12.0,13.0,12.0,13.0
18,12.0,15.0,12.0,15.0,12.0,11.0,11.0,13.0,11.0,12.0,11.0,11.0,12.0,14.0,12.0,15.0,11.0,14.0,12.0,11.0,12.0,13.0,14.0,12.0,14.0
19,12.0,15.0,13.0,16.0,13.0,12.0,11.0,14.0,11.0,13.0,12.0,11.0,13.0,15.0,12.0,16.0,12.0,14.0,13.0,12.0,13.0,13.0,14.0,13.0,14.0
20,13.0,16.0,14.0,17.0,14.0,13.0,12.0,15.0,12.0,13.0,13.0,12.0,14.0,16.0,13.0,17.0,12.0,15.0,14.0,13.0,13.0,14.0,14.0,13.0,15.0
21,14.0,17.0,14.0,17.0,15.0,13.0,13.0,15.0,12.0,14.0,13.0,13.0,14.0,16.0,13.0,17.0,13.0,16.0,15.0,13.0,14.0,14.0,15.0,13.0,16.0
22,14.0,17.0,15.0,18.0,16.0,13.0,13.0,16.0,13.0,15.0,14.0,13.0,15.0,16.0,13.0,18.0,14.0,17.0,16.0,14.0,15.0,15.0,16.0,14.0,17.0
23,15.0,18.0,16.0,19.0,17.0,14.0,14.0,17.0,14.0,16.0,15.0,14.0,16.0,17.0,14.0,18.0,14.0,17.0,17.0,15.0,16.0,16.0,17.0,15.0,17.0
24,15.0,19.0,16.0,19.0,18.0,15.0,15.0,17.0,15.0,16.0,16.0,14.0,16.0,17.0,15.0,19.0,15.0,17.0,18.0,15.0,16.0,17.0,17.0,16.0,18.0
25,15.0,20.0,17.0,20.0,19.0,15.0,16.0,18.0,15.0,17.0,16.0,15.0,17.0,18.0,16.0,20.0,15.0,18.0,19.0,16.0,17.0,18.0,18.0,16.0,18.0
26,16.0,20.0,17.0,21.0,19.0,16.0,17.0,18.0,16.0,17.0,17.0,15.0,17.0,19.0,16.0,21.0,15.0,18.0,19.0,17.0,18.0,19.0,19.0,16.0,19.0
27,17.0,21.0,18.0,21.0,19.0,17.0,18.0,19.0,16.0,18.0,17.0,16.0,18.0,20.0,16.0,22.0,16.0,19.0,20.0,18.0,19.0,20.0,19.0,17.0,20.0
28,18.0,22.0,18.0,22.0,20.0,17.0,19.0,19.0,17.0,19.0,18.0,17.0,19.0,21.0,17.0,23.0,16.0,19.0,21.0,19.0,20.0,21.0,20.0,18.0,21.0
29,19.0,22.0,19.0,22.0,20.0,18.0,20.0,20.0,18.0,20.0,18.0,17.0,20.0,21.0,18.0,23.0,17.0,19.0,22.0,20.0,20.0,22.0,20.0,18.0,22.0
30,20.0,23.0,20.0,23.0,21.0,19.0,20.0,21.0,18.0,20.0,19.0,18.0,21.0,22.0,19.0,24.0,18.0,20.0,23.0,21.0,21.0,23.0,21.0,18.0,22.0
31,21.0,24.0,21.0,24.0,21.0,20.0,20.0,22.0,19.0,21.0,19.0,19.0,22.0,23.0,19.0,24.0,19.0,21.0,24.0,22.0,21.0,24.0,21.0,19.0,23.0
32,21.0,25.0,22.0,24.0,22.0,21.0,21.0,22.0,19.0,22.0,20.0,19.0,23.0,23.0,19.0,25.0,20.0,22.0,25.0,23.0,22.0,24.0,22.0,20.0,23.0
33,22.0,25.0,22.0,25.0,22.0,22.0,22.0,23.0,20.0,23.0,20.0,20.0,23.0,24.0,20.0,25.0,20.0,22.0,26.0,24.0,22.0,25.0,22.0,20.0,24.0
34,22.0,26.0,22.0,26.0,23.0,23.0,23.0,24.0,21.0,24.0,21.0,20.0,24.0,24.0,20.0,26.0,20.0,23.0,26.0,24.0,23.0,25.0,23.0,21.0,24.0
35,23.0,27.0,23.0,27.0,24.0,23.0,23.0,25.0,22.0,24.0,21.0,20.0,24.0,25.0,20.0,27.0,21.0,23.0,27.0,25.0,24.0,26.0,24.0,21.0,25.0
36,23.0,28.0,24.0,27.0,25.0,24.0,24.0,26.0,22.0,25.0,21.0,21.0,24.0,25.0,21.0,27.0,21.0,24.0,28.0,26.0,24.0,27.0,25.0,22.0,26.0
37,24.0,29.0,24.0,28.0,26.0,25.0,25.0,26.0,23.0,26.0,22.0,22.0,25.0,26.0,22.0,27.0,22.0,25.0,29.0,26.0,24.0,27.0,25.0,23.0,27.0
38,25.0,29.0,25.0,29.0,27.0,25.0,25.0,27.0,23.0,26.0,22.0,22.0,26.0,27.0,22.0,28.0,23.0,25.0,29.0,27.0,25.0,28.0,26.0,23.0,27.0
39,25.0,30.0,26.0,29.0,28.0,25.0,26.0,28.0,24.0,27.0,23.0,23.0,27.0,28.0,23.0,29.0,24.0,26.0,29.0,27.0,25.0,28.0,26.0,24.0,28.0
40,26.0,30.0,26.0,29.0,28.0,26.0,27.0,28.0,24.0,28.0,24.0,24.0,28.0,28.0,23.0,30.0,25.0,26.0,30.0,28.0,26.0,29.0,26.0,25.0,29.0
41,27.0,31.0,27.0,30.0,28.0,27.0,28.0,29.0,25.0,29.0,24.0,25.0,28.0,29.0,24.0,31.0,26.0,27.0,31.0,28.0,26.0,30.0,27.0,25.0,30.0
42,28.0,32.0,28.0,31.0,29.0,27.0,29.0,29.0,26.0,30.0,25.0,25.0,29.0,29.0,25.0,32.0,27.0,27.0,31.0,28.0,26.0,30.0,27.0,25.0,31.0
43,29.0,33.0,29.0,32.0,29.0,28.0,29.0,29.0,26.0,30.0,26.0,26.0,30.0,29.0,25.0,32.0,28.0,28.0,32.0,29.0,27.0,31.0,28.0,26.0,32.0
44,29.0,33.0,30.0,32.0,30.0,28.0,30.0,30.0,27.0,31.0,27.0,26.0,31.0,30.0,26.0,33.0,29.0,29.0,33.0,30.0,28.0,31.0,29.0,26.0,33.0
45,30.0,34.0,31.0,33.0,31.0,29.0,30.0,30.0,28.0,32.0,28.0,27.0,32.0,31.0,26.0,33.0,29.0,29.0,33.0,31.0,29.0,32.0,29.0,27.0,34.0
46,31.0,35.0,32.0,33.0,32.0,30.0,31.0,31.0,29.0,32.0,29.0,27.0,33.0,32.0,27.0,34.0,30.0,30.0,33.0,32.0,29.0,32.0,30.0,28.0,35.0
47,31.0,36.0,32.0,34.0,33.0,31.0,31.0,32.0,30.0,32.0,29.0,28.0,34.0,32.0,28.0,34.0,30.0,30.0,34.0,33.0,30.0,33.0,31.0,29.0,35.0
48,32.0,37.0,33.0,35.0,34.0,32.0,32.0,32.0,30.0,33.0,30.0,29.0,34.0,32.0,29.0,35.0,31.0,31.0,34.0,34.0,31.0,34.0,32.0,30.0,36.0
49,32.0,38.0,34.0,36.0,35.0,33.0,33.0,33.0,31.0,34.0,30.0,29.0,35.0,33.0,29.0,35.0,32.0,31.0,35.0,35.0,32.0,34.0,33.0,31.0,36.0
50,33.0,38.0,35.0,37.0,36.0,34.0,34.0,33.0,32.0,34.0,31.0,30.0,36.0,34.0,30.0,36.0,33.0,32.0,35.0,35.0,32.0,35.0,34.0,32.0,36.0
51,34.0,39.0,35.0,37.0,37.0,35.0,35.0,34.0,33.0,35.0,31.0,31.0,36.0,35.0,31.0,37.0,34.0,33.0,36.0,35.0,32.0,35.0,34.0,33.0,37.0
52,35.0,40.0,36.0,38.0,38.0,36.0,35.0,35.0,34.0,35.0,32.0,31.0,37.0,35.0,32.0,37.0,35.0,33.0,37.0,36.0,33.0,36.0,34.0,34.0,38.0
53,35.0,41.0,36.0,39.0,39.0,36.0,36.0,35.0,35.0,36.0,33.0,32.0,37.0,36.0,32.0,38.0,36.0,34.0,37.0,37.0,33.0,36.0,35.0,34.0,39.0
54,35.0,42.0,37.0,40.0,39.0,37.0,37.0,35.0,35.0,37.0,33.0,33.0,38.0,36.0,33.0,38.0,37.0,34.0,38.0,37.0,34.0,37.0,35.0,34.0,40.0
55,36.0,43.0,38.0,41.0,40.0,38.0,37.0,36.0,36.0,37.0,34.0,33.0,38.0,37.0,34.0,39.0,38.0,35.0,38.0,37.0,35.0,38.0,36.0,35.0,41.0
56,37.0,43.0,38.0,42.0,41.0,38.0,38.0,36.0,36.0,38.0,35.0,34.0,39.0,37.0,34.0,40.0,39.0,35.0,38.0,38.0,35.0,38.0,37.0,35.0,42.0
57,38.0,44.0,39.0,42.0,42.0,39.0,39.0,37.0,37.0,39.0,36.0,34.0,39.0,37.0,34.0,41.0,40.0,36.0,39.0,39.0,36.0,38.0,38.0,36.0,42.0
58,38.0,44.0,40.0,43.0,43.0,40.0,40.0,37.0,38.0,40.0,36.0,34.0,40.0,38.0,35.0,42.0,40.0,37.0,40.0,40.0,36.0,38.0,38.0,36.0,43.0
59,39.0,45.0,41.0,43.0,43.0,40.0,40.0,38.0,38.0,41.0,37.0,35.0,41.0,38.0,36.0,42.0,41.0,38.0,40.0,41.0,36.0,39.0,39.0,37.0,44.0
60,40.0,46.0,42.0,44.0,44.0,41.0,41.0,39.0,39.0,41.0,38.0,36.0,41.0,39.0,37.0,43.0,42.0,38.0,41.0,42.0,37.0,39.0,40.0,38.0,44.0
61,41.0,47.0,43.0,45.0,45.0,42.0,41.0,40.0,39.0,42.0,39.0,36.0,42.0,40.0,37.0,43.0,42.0,39.0,42.0,43.0,38.0,40.0,40.0,39.0,44.0
